"","GSM5033982","GSM5033975","GSM5033946","GSM5033948","GSM5033951","GSM5033952","GSM5033953","GSM5033955","GSM5033958","GSM5033960","GSM5033962","GSM5033964","GSM5033966","GSM5033969","GSM5033972","GSM5033976","GSM5033978","GSM5033981","GSM5033985","GSM5033987","GSM5033989","GSM5033991","GSM5033993","GSM5033998","GSM5034001","GSM5034004","GSM5034007","GSM5034008","GSM5034010","GSM5034011","GSM5034012","GSM5034013","GSM5034015","GSM5034017","GSM5034019"
"M6PR",6.84201417957094,6.09622697455862,7.28524178914445,5.37526209161088,4.74018809306236,5.53512744431234,6.56936149635687,5.97310706580045,7.8350253806622,4.05453550412305,8.35651963098306,6.84585166601308,6.72720729449075,6.75519857086707,7.57237946565027,7.86196392829374,5.72252631791105,8.40426127038021,6.86841543487087,5.79768673586776,8.08040369131447,4.31993340562336,5.62343304565802,7.98482120966452,8.05658192458641,6.39201675863339,5.33398342577472,6.45759417598509,3.91374484335374,5.96668280515463,6.61304296457935,5.08450504638047,5.2838334100663,7.78618794350773,4.55970542512113
"HOXA11",1.25072383086928,-1.49906472695586,-9.96578428466209,1.4105212829733,2.53893897971433,-3.83899275608615,0.667393503677156,-9.96578428466209,4.51429805921646,-0.508386096898825,5.17301015820544,3.33047964663225,-0.0128434675962161,-0.610789827385969,3.3372652233416,3.90438118943582,2.97182033902111,3.86640142524437,0.302779366944194,-2.27320286490087,3.73981280462041,1.11732209707812,-0.901685170537746,4.11824833376664,1.1753305643906,-1.61753781968832,0.749257684878429,-0.175325794009851,2.06927872471821,0.254653971896412,1.74973554931146,2.60411201355105,1.14205548535937,1.88506102560716,0.6492341802865
"CACNG3",-9.96578428466209,-5.87970703533445,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-3.43893431794006,-9.96578428466209,-9.96578428466209,-9.96578428466209,-4.22923080607411,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-6.26051111187613,-9.96578428466209,-5.17301593445319,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-6.67024195651757,-9.96578428466209,-9.96578428466209
"TFAP2D",-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-5.98012304116293,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209
"ZRANB1",6.91099068727495,6.59308650589422,6.49177212646256,4.92605213040224,4.48524366646303,4.32829268055241,6.12100132230552,7.19109517620922,8.72650962183297,4.06192519252446,7.86801503348342,6.4269917564911,6.36637108439561,5.65006219841174,6.84248609713069,6.88332615377525,4.96715600462842,6.49463107972834,6.51490016804472,6.13821629691874,7.29749578300091,6.75397166137225,5.00526060502764,6.58218213922185,7.41225982141748,6.02805820669256,4.9735455876346,5.98497363007588,4.38244333214205,5.9024868922834,6.07175063073833,5.67087671382266,5.25045652500319,6.51585838407765,5.49643973979323
"DNAH5",7.51459278644325,9.01165786820254,6.11088438080791,3.71287290162844,5.77343721467366,3.26990000613678,4.78923051807128,4.19553557931847,3.9555490935567,2.21001906587326,11.1171860602319,9.42422343461691,3.40112914097516,5.42911388783951,7.5730283642726,6.26905207355807,5.80695702707874,5.27614656621705,5.68014016390082,5.37662592394052,6.16826826575385,3.25199282939987,4.36015471581717,4.09995936366634,7.82382930846307,7.81138606214861,6.23527819547585,6.67503044781904,-9.96578428466209,5.74333227452488,0.849667823743931,6.49127173625902,6.21612708912222,6.19265921912357,5.04486348291728
"METTL24",1.00348443248948,0.151262805623022,0.713901686218109,2.08830398517675,-3.79182868380857,0.449732612266977,0.63247132383775,0.347502268224347,2.76197314792885,-0.814147339942497,-0.402963898945881,1.0754006009874,1.91249776313372,0.341764855003116,1.22531644683322,3.64220909860588,1.80447363788184,1.20233762756299,2.18490572219082,2.22122418954035,0.417465432225608,-9.96578428466209,-1.98252445862671,2.43631845308607,-1.49006666781295,1.00538662140002,2.1953748491189,2.32444068136922,-9.96578428466209,-0.0513065578408906,0.216033623903231,1.40735405576288,0.556028855090913,2.35129617228595,1.60100485988103
"GSC2",-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-2.65608216049145,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-4.3639567789595,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-3.73456908662218,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-1.48818332258872,-4.79437440830909,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-2.31462522504481
"DLX3",-9.96578428466209,-1.46539288192167,2.3246646417096,-6.09900299363523,-8.39419049036753,-7.62933114801557,-1.23157353937296,-1.86148482860262,-6.7312517003349,-6.9519447182215,-5.99809098166658,-0.864457919198111,-1.52223981849607,-6.78073931903293,-3.44797742893133,-0.130729356096133,-9.03027982438271,-4.14991617953523,-2.11472781458221,-9.96578428466209,-5.4055570951331,-4.83628316013863,-9.96578428466209,-7.10859354211323,2.31522434639335,-2.47008864265318,-8.18366721026517,-1.65176153526237,-9.96578428466209,-3.27855634917199,-9.96578428466209,-1.62583061554991,-2.87132582533457,-6.25823180681324,-4.34448580262561
"TBC1D22B",4.41161706836854,5.08203060474543,5.56344758871183,4.1763230973006,3.91144126056711,3.57217963019397,4.87805861146774,6.28079949646322,5.63045748877755,1.93351308243235,6.03955775308586,5.70865129185806,5.37196707813643,4.15489328865029,5.1991203516365,6.30383633761727,4.44276284117287,5.68821821829618,5.52829603170841,5.1452378395039,5.75465271109367,3.32625414579947,3.04221110531328,5.40579448400472,6.35122877060435,4.85715417928192,3.79053428968728,4.75879000927506,4.23539615991153,4.49571011290976,4.02756107173386,4.44106985261449,4.16902650686297,5.25002395412308,3.41210314455433
"FGF10",0.983795342809226,-3.50857400762138,0.84612872118662,1.06483940468042,-2.98369040028532,-1.24893722423865,1.41646176890516,-1.63968227594093,0.552985593406452,-3.88529650233148,-2.26561454789459,1.14966474275418,1.0603773009858,-1.66396334921486,0.720449308457966,1.45096205454873,0.735111631063858,0.484335003315342,0.213800370053788,0.569204446108068,-0.711980323610265,-0.354999342078705,-9.96578428466209,3.23688754093471,1.67676563181374,-0.0989814409207491,1.52570282950499,1.99786336409429,-9.96578428466209,1.09117818005351,-2.4523421677079,0.0841952345528817,0.827228736912393,-2.76485958862445,0.364005118176528
"PRLH",-2.01838830671265,-9.96578428466209,-9.96578428466209,-9.96578428466209,0.128145459783662,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,2.43366182066651,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209
"TRPC5",-1.17234796218139,-2.0225311168683,-2.45740044748153,-2.4609496118088,-3.65016223267295,-2.62125211842064,-2.53842159228089,0.85329710145579,-0.573657195237049,-4.94976414019037,1.1722872719445,-0.55012806868159,-1.32536917875922,-2.20956494942491,-1.46425550026894,1.49243548326706,-1.31726838838668,1.14239114251534,-0.636440040501298,0.0662933327648803,0.198632721689318,-9.96578428466209,-9.96578428466209,-2.32005624505095,-3.33592300421289,-9.96578428466209,0.497183891125429,0.414348073926639,-9.96578428466209,-1.01324222492949,0.207598117841616,-1.47535994804208,-1.42304953612622,-1.53685795646617,-0.254188822874134
